1,1,請攜帶泳衣與潛水鏡。,1
2,1,避免攜帶貴重物品上船。,2
3,1,浮潛時請穿著救生衣。,3
4,2,行程中需步行穿越地道。,1
5,2,實彈體驗需聽從教官指示。,2
6,2,不建議孕婦與兒童參加。,3
7,3,建議攜帶防曬乳與遮陽帽。,1
8,3,白宮拍照區需遵守規定。,2
9,4,需爬階梯參觀皇城建築。,1
10,4,請穿著包腳鞋以利行走。,2
11,5,請攜帶防蚊液及雨具。,1
12,5,搭乘小船時需穿著救生衣。,2
13,6,請依導遊安排準時集合。,1
14,6,船上拍照請注意個人安全。,2
15,7,沙丘活動建議穿運動鞋。,1
16,7,建議攜帶口罩避免沙塵。,2
17,8,登山及乘船需穿防滑鞋。,1
18,8,寺廟區請著端莊服裝。,2
19,9,寺廟拍照請尊重當地信仰。,1
20,9,行程多為步行，請備水與遮陽。,2
21,10,浮潛活動需穿救生衣。,1
22,10,請勿餵食海洋生物。,2
23,11,進入博物館需安檢。,1
24,11,建議攜帶筆記與導覽耳機。,2
25,12,山路行走請注意階梯濕滑。,1
26,12,可自備香品參拜（非強制）。,2
27,13,吉普車行駛時請勿站立。,1
28,13,鄉村路段塵土飛揚請備口罩。,2
29,14,夜釣請穿深色衣物防蚊。,1
30,14,活動期間請勿飲酒。,2
31,15,纜車搭乘請妥善保管票卡。,1
32,15,花園區域勿踩踏草坪。,2
33,16,此行程較自由無導覽耳機。,1
34,16,建議於指定地點集合返回。,2
35,17,此行程包含兩段長程車程。,1
36,17,敬請準時集合避免誤班。,2
37,18,島上無超商請自備飲水。,1
38,18,猴子出沒請勿餵食。,2
39,19,水上巴士上下船請小心濕滑。,1
40,19,請依照導覽員排隊登船。,2
41,20,遊輪上請穿著正式便服。,1
42,20,請攜帶泳裝與防曬用品。,2
43,21,請穿著防滑登山鞋，方便徒步健行,1
44,21,高原氣溫較低，建議攜帶保暖衣物,2
45,21,村內禁止拍攝當地居民，請尊重文化習俗,3
46,21,需步行長時間，請評估自身體能,4
47,22,行程包含高級海鮮餐，請提前告知過敏食材,1
48,22,登船時需出示護照，請提前準備,2
49,22,夜間海上風較大，建議攜帶薄外套,3
50,22,部分活動需額外報名，如夜釣魷魚,4
51,23,行程較為豐富，請準備舒適步行鞋,1
52,23,部分景點須遵守拍攝規範，如宗教場所,2
53,23,旅途中可能有高海拔區域，注意身體適應,3
54,23,團體用餐為固定菜單，如有特殊需求請提前告知,4
55,24,夜臥火車提供簡單床鋪，建議攜帶眼罩與耳塞,1
56,24,番西邦山區天候變化快，請攜帶雨具,2
57,24,健行路段有陡坡，建議穿著防滑鞋,3
58,24,村內可能無穩定網路，請提前下載必要資訊,4
59,25,早班巴士需提早報到，請準時抵達集合地點,1
60,25,景觀飯店無電梯，請留意行李重量,2
61,25,高原空氣乾燥，請攜帶保濕用品,3
62,25,可選擇自由活動，請評估體力安排行程,4
63,26,徒步路線可能有泥濘地段，請穿防水鞋,1
64,26,夜晚氣溫偏低，建議準備禦寒衣物,2
65,26,部分村落不提供現金交易，請攜帶行動支付工具,3
66,26,徒步時間較長，建議攜帶適量乾糧補充體力,4
67,27,山區夜晚較冷，請準備保暖外套,1
68,27,度假村有溫泉設施，建議攜帶泳裝,2
69,27,道路蜿蜒，搭車途中可能會有暈車情況,3
70,27,民宿提供當地特色餐點，如有飲食需求請提前告知,4
71,28,夜臥火車空間有限，請攜帶輕便行李,1
72,28,番西邦山登頂需額外購票，請提前確認,2
73,28,健行部分路段需基本耐力，請評估體力,3
74,28,Cat Cat 村內禁止使用無人機拍攝,4
75,29,市集內需注意財物安全，請妥善保管貴重物品,1
76,29,可選擇購買手工藝品，部分需議價交易,2
77,29,每週六限定行程，請提前規劃時間,3
78,29,需搭乘巴士前往，請準時集合,4
79,30,船上提供 Wi-Fi，網速可能受限,1
80,30,行程包含浮潛，請準備適合游泳裝備,2
81,30,晚宴有正式服裝要求，請攜帶合適服飾,3
82,30,部分高端活動需提前預約，如 SPA 或品酒會,4
83,30,不含個人消費,5
84,30,請保持手機暢通,6
85,30,請穿著輕便服裝,7
86,31,避免攜帶貴重物品,1
87,31,敬請遵守集合時間,2
88,31,請勿餵食野生動物,3
89,31,需自費部分餐食,4
90,31,活動順序可能調整,5
91,32,導遊全程陪同,1
92,32,敬請遵守集合時間,2
93,32,含基本保險,3
94,33,導遊全程陪同,1
95,33,活動順序可能調整,2
96,33,避免攜帶貴重物品,3
97,34,拍照請勿使用閃光燈,1
98,34,請勿餵食野生動物,2
99,34,不建議孕婦參加,3
100,34,避免攜帶貴重物品,4
101,35,請攜帶身分證明文件,1
102,35,請保管好個人物品,2
103,35,部分地點需步行,3
104,35,拍照請勿使用閃光燈,4
105,36,需自費部分餐食,1
106,36,請保管好個人物品,2
107,36,建議穿運動鞋,3
108,36,導遊全程陪同,4
109,36,請提前10分鐘集合,5
110,37,需自費部分餐食,1
111,37,不含個人消費,2
112,37,請勿餵食野生動物,3
113,37,可自備泳衣與毛巾,4
114,38,請保管好個人物品,1
115,38,敬請遵守集合時間,2
116,38,部分地點需步行,3
117,38,不含個人消費,4
118,38,不建議孕婦參加,5
119,39,需自備防曬用品,1
120,39,請保持手機暢通,2
121,39,活動順序可能調整,3
122,39,建議穿運動鞋,4
123,40,避免攜帶貴重物品,1
124,40,請穿著輕便服裝,2
125,40,請保管好個人物品,3
126,40,含景點門票,4
127,40,含基本保險,5
128,41,含景點門票,1
129,41,含基本保險,2
130,41,請勿餵食野生動物,3
131,41,可自備泳衣與毛巾,4
132,41,活動順序可能調整,5
133,42,請攜帶身分證明文件,1
134,42,拍照請勿使用閃光燈,2
135,42,請勿餵食野生動物,3
136,42,敬請遵守集合時間,4
137,43,建議穿運動鞋,1
138,43,需自費部分餐食,2
139,43,請保持手機暢通,3
140,44,請勿餵食野生動物,1
141,44,請穿著輕便服裝,2
142,44,避免攜帶貴重物品,3
143,44,可自備泳衣與毛巾,4
144,45,請穿著輕便服裝,1
145,45,拍照請勿使用閃光燈,2
146,45,需自費部分餐食,3
147,46,請保持手機暢通,1
148,46,請攜帶身分證明文件,2
149,46,含基本保險,3
150,46,需自費部分餐食,4
151,46,不含個人消費,5
152,47,活動順序可能調整,1
153,47,需自費部分餐食,2
154,47,含景點門票,3
155,47,不含個人消費,4
156,47,請提前10分鐘集合,5
157,48,需自費部分餐食,1
158,48,可自備泳衣與毛巾,2
159,48,導遊全程陪同,3
160,48,敬請遵守集合時間,4
161,49,請攜帶身分證明文件,1
162,49,含景點門票,2
163,49,需自備防曬用品,3
164,50,含景點門票,1
165,50,拍照請勿使用閃光燈,2
166,50,部分地點需步行,3
167,50,活動順序可能調整,4
168,51,含基本保險,1
169,51,敬請遵守集合時間,2
170,51,含景點門票,3
171,51,請提前10分鐘集合,4
172,51,需自備防曬用品,5
173,52,導遊全程陪同,1
174,52,需自備防曬用品,2
